file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Commercial Oven Door Mechanism and Open Close.wav,A door is being opened and closed over and over.,A door is being opened and closed repeatedly.,A door latch being pulled and a door opening and shutting in a repeated fashion.,A door latch is being pulled and a door is opening and shutting in a repeated fashion.,A gun shot occurs while a person loads it several times.
january birds yorkshire.wav,A gentle wind blowing behind several birds chirping.,Birds chirping with a gentle wind in the background.,Small birds singing in the distance were almost inaudible.,"The gentle sound of birds chirping, calling, and singing in the background.","faint sound of birds chirping in the distance,"
kitchen.wav,A ball being dropped on a table then rolled.,A ball drops on a table then rolls.,Amid the silence an item is being moved.,An item is being moved among otherwise silence.,"a low humming constantly, a hard object hits the floor and is moved back and forth across a wood floor."
scrapping.wav,A knife being sharpened on a metal grinder.,A knife is being sharpened on a metal grinder.,"A large blade grinds and resonates back and forth against rough, sharpening tool.",Someone rubbing a piece of metal against another piece of metal,The steady rhythm of steel grinding against steel.
Floor_trading3.wav,A bell rings and a several people are talking in a crowd.,A bell sounds while crowds of people chatter and cheer.,"A large group of people are talking, some yelling, and a bell rings once.","Crowds chatter, a bell sounds and people continue to chatter and cheer.","When the bell rings, several people are still talking."
Pelicans_Baby Pelicans_Waves.wav,Many seagulls are squawking and chirping over the ocean.,Seagulls are cawing and chirping as wave crash on the shore.,"Seagulls are squawking, chirping and cawing as waves are gently lapping the ocean shore.","Seagulls are squawking, chirping, and cawing as waves gently lap the ocean shore.",The seagulls are cawing and chirping while the waves is crashing the shore
Gentle Sea On Flat Beach.wav,A person rolls for a while in a pond.,"The water ran, splashing as it dropped into the pool.",Water in a river is lapping up against a dock.,Water in the river is lapping up against a dock.,"Water splashing, running, and dropping into and a pool."
sail-boat-inside.wav,A boat in the water is moving closer and closer,"In the water, a boat is moving increasingly nearer.",Water is lapping up against a boat and a dock.,Water is lapping up against the dock and boat.,Water rubs against the side of a container and echoes.
two noise generators 01.wav,A radio is playing but producing only loud electrical static.,Loud electrical static noise plays on a radio.,The sound grew higher in pitch with a clear buzzing and clicking.,static electricity from some type of electronic device caused distinct static noises in the back,static from some type of electronic device with distinct static noises in the back
Bird Effects ME.A1.wav,A large amount of rain is falling down outside.,A very strong waterfall is flowing at a brisk and steady rate.,An very strong waterfall is flowing at a brisk and steady rate.,Rain falls down at a constant and heavy rate.,Rain falls down heavily at a constant rate.
ship engine.wav,A motor gurgles and churns heavily and steadily.,A truck is idle and covers all the other noises.,An idling truck seems to cover all the other noises.,An large engine chugs and gurgles steadily and continuously.,An old engine is idling and not running very fast.
BitmapNoise1.wav,A shrill electronic buzz repeats in a pattern.,A shrill electronic buzz repeats itself in a pattern.,An electric static noise ringing and playing in a series of pitches.,Annoying static that continuously changes volumes and tone.,Annoying static that continuously changes volumes and tones.
"INT Factory budimka, pozega.wav",A heavy engine automobile operating and pressing off steam.,A large vehicle running and the hiss of steam.,Cars are getting washed in the shop by a water spraying machine.,Low mechanical rumbling with an occasional annoying hiss in the background.,Low mechanical rumbling with occasional hissing in the background.
